Column1,City,Total population,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,16 years and over,18 years and over,21 years and over,62 years and over,65 years and over,    Male population,Male - Under 5 years,Male - 5 to 9 years,Male - 10 to 14 years,Male - 15 to 19 years,Male - 20 to 24 years,Male - 25 to 29 years,Male - 30 to 34 years,Male - 35 to 39 years,Male - 40 to 44 years,Male - 45 to 49 years,Male - 50 to 54 years,Male - 55 to 59 years,Male - 60 to 64 years,Male - 65 to 69 years,Male - 70 to 74 years,Male - 75 to 79 years,Male - 80 to 84 years,Male - 85 years and over,Female population,Female - Under 5 years,Female - 5 to 9 years,Female - 10 to 14 years,Female - 15 to 19 years,Female - 20 to 24 years,Female - 25 to 29 years,Female - 30 to 34 years,Female - 35 to 39 years,Female - 40 to 44 years,Female - 45 to 49 years,Female - 50 to 54 years,Female - 55 to 59 years,Female - 60 to 64 years,Female - 65 to 69 years,Female - 70 to 74 years,Female - 75 to 79 years,Female - 80 to 84 years,Female - 85 years and over,Median Age_Both sexes,Median Age_Male,Median Age_Female,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races,County
1,Corte Madera,10222,536,700,841,752,360,294,418,577,738,811,871,835,631,571,494,352,221,220,7979,7639,7318,2196,1858,4886,264,364,429,409,181,137,197,275,337,364,408,393,314,240,223,164,104,83,5336,272,336,412,343,179,157,221,302,401,447,463,442,317,331,271,188,117,137,44.3,42.8,45.6,7635,77,69,834,14,381,1212,Marin County
2,Fairfax,7605,273,348,484,453,255,293,325,418,457,571,706,650,612,643,556,286,153,122,6405,6200,5998,2137,1760,3674,157,164,236,250,133,145,168,194,204,268,339,298,282,301,266,145,69,55,3931,116,184,248,203,122,148,157,224,253,303,367,352,330,342,290,141,84,67,49.5,48.7,50.1,5998,94,56,233,20,349,855,Marin County
3,Larkspur,13064,506,610,781,724,478,438,650,731,812,964,1018,1064,920,852,834,664,430,588,10985,10680,10360,3918,3368,6037,256,308,392,372,231,231,291,318,373,449,476,488,455,344,360,290,175,228,7027,250,302,389,352,247,207,359,413,439,515,542,576,465,508,474,374,255,360,49.2,47.8,50.3,9848,193,78,820,15,686,1424,Marin County
4,Mill Valley,14231,577,842,1087,1006,460,323,509,640,866,1180,1258,1120,1007,915,834,676,405,526,11496,11029,10581,3950,3356,6650,294,431,547,515,215,162,233,270,381,548,573,573,461,413,388,274,164,208,7581,283,411,540,491,245,161,276,370,485,632,685,547,546,502,446,402,241,318,48.7,47.8,49.3,11621,137,31,860,13,258,1311,Marin County
5,Novato,53225,2490,2916,3379,3347,2504,2347,2711,3346,3389,3440,3838,3930,3821,3604,3302,2281,1324,1256,43771,42293,40533,13998,11767,25582,1262,1508,1727,1744,1252,1273,1369,1627,1579,1649,1836,1863,1793,1595,1394,1021,578,512,27643,1228,1408,1652,1603,1252,1074,1342,1719,1810,1791,2002,2067,2028,2009,1908,1260,746,744,45.3,43.1,47.2,32509,1435,961,3966,108,7099,7147,Marin County
6,Ross,2338,118,179,244,176,101,35,44,103,137,215,180,160,126,140,118,116,72,74,1740,1667,1598,593,520,1133,60,102,122,80,48,22,17,50,61,104,80,80,70,62,51,57,31,36,1205,58,77,122,96,53,13,27,53,76,111,100,80,56,78,67,59,41,38,45.8,45.3,46,2082,2,1,41,0,30,182,Marin County
7,San Anselmo,12830,570,816,912,891,430,373,452,711,818,1043,1161,1017,979,918,796,478,261,204,10339,9951,9541,3244,2657,6071,289,406,456,449,207,179,207,310,386,481,552,490,447,427,374,219,116,76,6759,281,410,456,442,223,194,245,401,432,562,609,527,532,491,422,259,145,128,47.2,46.6,47.8,10392,100,45,450,12,387,1444,Marin County
8,San Rafael,61271,3269,3482,3612,3791,3381,3434,3995,4430,4274,4040,4086,3804,3597,3435,3056,2207,1517,1861,50175,48707,46271,14132,12076,30421,1714,1789,1863,1991,1726,1783,2125,2286,2158,2007,2080,1872,1734,1613,1416,974,643,647,30850,1555,1693,1749,1800,1655,1651,1870,2144,2116,2033,2006,1932,1863,1822,1640,1233,874,1214,41.3,39.9,43,33427,1065,2246,4073,156,12721,7583,Marin County
9,Sausalito,7269,256,150,177,170,152,278,583,537,481,522,622,649,677,582,566,441,255,171,6639,6581,6492,2427,2015,3435,124,66,90,63,84,129,276,283,216,237,277,333,333,240,243,231,130,80,3834,132,84,87,107,68,149,307,254,265,285,345,316,344,342,323,210,125,91,52.5,52.4,52.5,6066,51,18,418,8,100,608,Marin County
10,Tiburon,9146,366,551,733,587,314,199,285,404,543,738,731,667,623,622,637,495,342,309,7344,7084,6840,2773,2405,4338,186,256,377,306,173,84,139,168,253,351,346,305,294,288,292,228,170,122,4808,180,295,356,281,141,115,146,236,290,387,385,362,329,334,345,267,172,187,49.2,48.4,49.7,7261,91,19,687,13,193,882,Marin County
