,City,SEX AND AGE,    Total population,        Under 5 years,        5 to 9 years,        10 to 14 years,        15 to 19 years,        20 to 24 years,        25 to 29 years,        30 to 34 years,        35 to 39 years,        40 to 44 years,        45 to 49 years,        50 to 54 years,        55 to 59 years,        60 to 64 years,        65 to 69 years,        70 to 74 years,        75 to 79 years,        80 to 84 years,        85 years and over,        Selected Age Categories,            16 years and over,            18 years and over,            21 years and over,            62 years and over,            65 years and over,    Male population,        Under 5 years,        5 to 9 years,        10 to 14 years,        15 to 19 years,        20 to 24 years,        25 to 29 years,        30 to 34 years,        35 to 39 years,        40 to 44 years,        45 to 49 years,        50 to 54 years,        55 to 59 years,        60 to 64 years,        65 to 69 years,        70 to 74 years,        75 to 79 years,        80 to 84 years,        85 years and over,        Selected Age Categories,            16 years and over,            18 years and over,            21 years and over,            62 years and over,            65 years and over,    Female population,        Under 5 years,        5 to 9 years,        10 to 14 years,        15 to 19 years,        20 to 24 years,        25 to 29 years,        30 to 34 years,        35 to 39 years,        40 to 44 years,        45 to 49 years,        50 to 54 years,        55 to 59 years,        60 to 64 years,        65 to 69 years,        70 to 74 years,        75 to 79 years,        80 to 84 years,        85 years and over,        Selected Age Categories,            16 years and over,            18 years and over,            21 years and over,            62 years and over,            65 years and over,MEDIAN AGE BY SEX,    Both sexes,    Male,    Female,RACE,    Total population,        One Race,            White,            Black or African American,            American Indian and Alaska Native,            Asian,            Native Hawaiian and Other Pacific Islander,            Some Other Race,        Two or More Races,TOTAL RACES TALLIED [1],    Total races tallied,        White alone or in combination with one or more other races,        Black or African American alone or in combination with one or more other races,        American Indian and Alaska Native alone or in combination with one or more other races,        Asian alone or in combination with one or more other races,        Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races,        Some Other Race alone or in combination with one or more other races,HISPANIC OR LATINO,    Total population,        Hispanic or Latino (of any race),        Not Hispanic or Latino,HISPANIC OR LATINO BY RACE,    Total population,        Hispanic or Latino,            White alone,            Black or African American alone,            American Indian and Alaska Native alone,            Asian alone,            Native Hawaiian and Other Pacific Islander alone,            Some Other Race alone,            Two or More Races,        Not Hispanic or Latino,            White alone,            Black or African American alone,            American Indian and Alaska Native alone,            Asian alone,            Native Hawaiian and Other Pacific Islander alone,            Some Other Race alone,            Two or More Races,RELATIONSHIP,    Total population,        In households,            Householder,            Opposite-sex spouse,            Same-sex spouse,            Opposite-sex unmarried partner,            Same-sex unmarried partner,            Child [2],                Under 18 years,            Grandchild,                Under 18 years,            Other relatives,            Nonrelatives,        In group quarters,            Institutionalized population:,                Male,                Female,            Noninstitutionalized population:,                Male,                Female,HOUSEHOLDS BY TYPE,    Total households,        Married couple household,            With own children under 18 [3],        Cohabiting couple household,            With own children under 18 [3],"        Male householder, no spouse or partner present:",            Living alone,                65 years and over,            With own children under 18 [3],"        Female householder, no spouse or partner present:",            Living alone,                65 years and over,            With own children under 18 [3],        Households with individuals under 18 years,        Households with individuals 65 years and over,HOUSING OCCUPANCY,    Total housing units,        Occupied housing units,        Vacant housing units,            For rent,"            Rented, not occupied",            For sale only,"            Sold, not occupied","            For seasonal, recreational, or occasional use",            All other vacants,VACANCY RATES,    Homeowner vacancy rate (percent) [4],    Rental vacancy rate (percent) [5],HOUSING TENURE,    Occupied housing units,        Owner-occupied housing units,        Renter-occupied housing units,County
6,East Palo Alto,,"30,034","1,826","2,108","2,345","2,309","2,522","2,812","2,613","2,350","2,138","1,910","1,712","1,557","1,293",909,663,408,280,279,,"23,323","22,401","20,992","3,267","2,539","15,182",924,"1,096","1,182","1,213","1,308","1,430","1,377","1,205","1,093",967,836,791,624,442,291,177,106,120,,"11,755","11,278","10,543","1,485","1,136","14,852",902,"1,012","1,163","1,096","1,214","1,382","1,236","1,145","1,045",943,876,766,669,467,372,231,174,159,,"11,568","11,123","10,449","1,782","1,403",,31.9,31.4,32.5,,"30,034","25,638","3,574","3,287",682,"1,596","2,084","14,415","4,396",,"34,722","7,357","3,882","1,153","2,040","2,312","17,978",,"30,034","19,964","10,070",,"30,034","19,964","1,269",97,658,29,76,"14,277","3,558","10,070","2,305","3,190",24,"1,567","2,008",138,838,,"30,034","29,890","7,681","3,250",59,559,32,"9,399","5,463","1,477","1,116","4,380","3,053",144,18,8,10,126,67,59,,"7,673","3,314","1,791",592,299,"1,562",693,169,179,"2,205",607,230,575,"3,761","1,995",,"8,110","7,673",437,207,29,18,16,30,137,,0.6,4.1,,"7,673","2,857","4,816",San Mateo County
7,Foster City,,"33,805","1,915","2,223","1,948","1,739","1,237","2,179","2,973","2,973","2,681","2,446","2,052","1,906","1,669","1,556","1,572","1,178",818,740,,"27,302","26,565","25,760","6,867","5,864","16,610","1,001","1,163","1,007",906,652,"1,083","1,524","1,497","1,333","1,184",991,927,779,686,670,527,366,314,,"13,223","12,845","12,417","3,027","2,563","17,195",914,"1,060",941,833,585,"1,096","1,449","1,476","1,348","1,262","1,061",979,890,870,902,651,452,426,,"14,079","13,720","13,343","3,840","3,301",,39.5,38.1,40.8,,"33,805","30,999","11,166",514,76,"18,074",196,973,"2,806",,"36,838","13,720",761,322,"19,393",362,"2,280",,"33,805","2,421","31,384",,"33,805","2,421",432,35,45,82,17,715,"1,095","31,384","10,734",479,31,"17,992",179,258,"1,711",,"33,805","33,555","12,900","7,819",62,535,38,"9,549","6,948",249,168,"1,400","1,003",250,28,13,15,222,89,133,,"12,892","7,867","3,848",578,69,"1,731","1,149",316,110,"2,716","1,542",833,335,"4,625","3,901",,"13,558","12,892",666,364,50,57,27,87,81,,0.8,5.6,,"12,892","6,809","6,083",San Mateo County
8,Half Moon Bay,,"11,795",534,594,655,662,556,501,596,719,694,761,818,904,977,853,815,597,307,252,,"9,876","9,582","9,243","3,363","2,824","5,613",275,301,308,326,288,263,298,344,340,379,402,421,457,391,349,249,121,101,,"4,666","4,526","4,345","1,472","1,211","6,182",259,293,347,336,268,238,298,375,354,382,416,483,520,462,466,348,186,151,,"5,210","5,056","4,898","1,891","1,613",,47.6,45.7,49.3,,"11,795","9,948","7,371",81,92,726,16,"1,662","1,847",,"13,739","9,143",148,324,"1,004",54,"3,066",,"11,795","3,504","8,291",,"11,795","3,504",423,3,77,27,1,"1,620","1,353","8,291","6,948",78,15,699,15,42,494,,"11,795","11,737","4,577","2,426",44,178,12,"3,048","1,853",211,163,698,543,58,0,0,0,58,37,21,,"4,569","2,464",864,197,44,656,422,228,49,"1,252",839,604,95,"1,226","2,106",,"4,833","4,569",264,39,7,21,14,132,51,,0.7,2.6,,"4,569","3,141","1,428",San Mateo County
9,Hillsborough,,"11,387",394,762,992,935,552,373,284,372,595,856,937,949,758,729,644,525,356,374,,"9,026","8,607","8,181","3,040","2,628","5,604",197,417,511,479,262,194,129,159,273,393,450,488,376,345,317,259,181,174,,"4,369","4,158","3,947","1,472","1,276","5,783",197,345,481,456,290,179,155,213,322,463,487,461,382,384,327,266,175,200,,"4,657","4,449","4,234","1,568","1,352",,47.7,47.3,48.0,,"11,387","10,469","6,304",43,4,"3,946",29,143,918,,"12,359","7,191",95,50,"4,469",45,509,,"11,387",531,"10,856",,"11,387",531,139,0,3,19,0,94,276,"10,856","6,165",43,1,"3,927",29,49,642,,"11,387","11,377","3,681","2,775",18,76,5,"3,941","2,592",163,116,441,277,10,0,0,0,10,6,4,,"3,689","2,803","1,193",79,27,305,145,88,45,502,256,200,70,"1,460","1,682",,"3,935","3,689",246,21,0,34,33,48,110,,1.0,7.1,,"3,689","3,416",273,San Mateo County
10,Menlo Park,,"33,780","1,889","2,239","2,396","1,934","1,751","2,431","2,649","2,504","2,315","2,389","2,190","2,074","1,793","1,479","1,325",945,708,769,,"26,792","25,956","25,038","6,225","5,226","16,498",967,"1,190","1,206",937,955,"1,262","1,333","1,225","1,096","1,163","1,038",996,853,667,574,443,292,301,,"12,896","12,508","12,037","2,740","2,277","17,282",922,"1,049","1,190",997,796,"1,169","1,316","1,279","1,219","1,226","1,152","1,078",940,812,751,502,416,468,,"13,896","13,448","13,001","3,485","2,949",,38.2,36.5,39.7,,"33,780","29,987","19,344","1,063",232,"5,822",367,"3,159","3,793",,"37,881","22,874","1,425",677,"7,155",499,"5,251",,"33,780","5,989","27,791",,"33,780","5,989",769,62,206,58,3,"3,003","1,888","27,791","18,575","1,001",26,"5,764",364,156,"1,905",,"33,780","33,380","12,740","6,577",85,674,37,"9,646","7,152",486,381,"1,252","1,883",400,266,137,129,134,75,59,,"12,743","6,655","3,286",721,135,"2,102","1,295",394,152,"3,265","1,974",959,430,"4,352","3,724",,"13,857","12,743","1,114",423,116,68,47,213,247,,1.0,6.5,,"12,743","6,735","6,008",San Mateo County
11,Millbrae,,"23,216","1,113","1,230","1,367","1,313","1,128","1,375","1,558","1,536","1,512","1,624","1,553","1,725","1,542","1,276","1,102",752,620,890,,"19,238","18,680","17,999","5,526","4,640","11,330",579,659,701,653,629,729,792,760,711,791,741,825,737,618,498,344,242,321,,"9,253","8,985","8,617","2,429","2,023","11,886",534,571,666,660,499,646,766,776,801,833,812,900,805,658,604,408,378,569,,"9,985","9,695","9,382","3,097","2,617",,43.3,41.0,45.2,,"23,216","21,137","7,340",172,87,"12,238",230,"1,070","2,079",,"25,486","9,233",340,316,"13,071",326,"2,200",,"23,216","2,621","20,595",,"23,216","2,621",473,2,71,83,14,897,"1,081","20,595","6,867",170,16,"12,155",216,173,998,,"23,216","23,014","8,259","4,796",28,341,29,"6,741","4,117",323,243,"1,560",937,202,81,32,49,121,52,69,,"8,272","4,834","2,040",370,90,"1,125",652,277,93,"1,943","1,042",694,208,"2,728","3,168",,"8,679","8,272",407,137,18,41,28,48,135,,0.8,4.0,,"8,272","4,996","3,276",San Mateo County
12,Pacifica,,"38,640","1,965","2,046","2,103","1,986","1,823","2,194","2,772","2,926","2,747","2,580","2,786","2,821","2,813","2,514","1,970","1,136",775,683,,"32,122","31,293","30,178","8,797","7,078","19,024","1,001","1,058","1,114","1,031",928,"1,148","1,424","1,460","1,379","1,272","1,346","1,349","1,323","1,188",931,491,323,258,,"15,652","15,228","14,639","3,999","3,191","19,616",964,988,989,955,895,"1,046","1,348","1,466","1,368","1,308","1,440","1,472","1,490","1,326","1,039",645,452,425,,"16,470","16,065","15,539","4,798","3,887",,42.7,41.0,44.2,,"38,640","32,629","20,488",738,307,"8,385",286,"2,425","6,011",,"45,256","26,037","1,317","1,086","10,605",649,"5,562",,"38,640","7,363","31,277",,"38,640","7,363","1,746",54,207,199,28,"2,062","3,067","31,277","18,742",684,100,"8,186",258,363,"2,944",,"38,640","38,501","14,201","7,574",178,937,73,"10,628","6,408",880,607,"2,160","1,870",139,63,23,40,76,39,37,,"14,180","7,747","2,979",986,226,"2,145","1,262",460,164,"3,302","1,697",954,414,"4,349","5,058",,"14,652","14,180",472,151,28,41,27,77,148,,0.4,3.2,,"14,180","9,617","4,563",San Mateo County
13,Portola Valley,,"4,456",141,226,277,304,192,105,103,144,181,250,340,386,361,320,281,271,224,350,,"3,752","3,605","3,469","1,664","1,446","2,162",72,124,154,169,105,62,45,63,77,122,141,196,180,160,144,113,102,133,,"1,781","1,687","1,620",758,652,"2,294",69,102,123,135,87,43,58,81,104,128,199,190,181,160,137,158,122,217,,"1,971","1,918","1,849",906,794,,54.5,53.2,55.5,,"4,456","4,004","3,585",11,4,347,0,57,452,,"4,932","4,023",40,44,526,6,293,,"4,456",230,"4,226",,"4,456",230,43,0,4,5,0,34,144,"4,226","3,542",11,0,342,0,23,308,,"4,456","4,395","1,742","1,133",14,52,5,"1,178",787,35,28,91,145,61,58,12,46,3,2,1,,"1,752","1,149",370,54,11,162,124,78,7,387,279,231,34,469,949,,"1,915","1,752",163,28,23,15,13,50,34,,1.1,6.3,,"1,752","1,356",396,San Mateo County
14,Redwood City,,"84,292","4,780","4,709","4,797","4,599","4,888","7,002","8,118","7,204","6,066","5,828","5,619","5,328","4,387","3,583","2,769","1,950","1,244","1,421",,"69,044","67,115","64,594","13,467","10,967","42,246","2,451","2,480","2,509","2,436","2,623","3,616","4,274","3,764","2,998","2,946","2,663","2,585","2,154","1,678","1,210",843,526,490,,"34,304","33,289","31,918","5,973","4,747","42,046","2,329","2,229","2,288","2,163","2,265","3,386","3,844","3,440","3,068","2,882","2,956","2,743","2,233","1,905","1,559","1,107",718,931,,"34,740","33,826","32,676","7,494","6,220",,37.1,35.8,38.5,,"84,292","72,452","37,487","1,531","1,330","13,693",669,"17,742","11,840",,"97,044","48,565","2,430","2,660","16,435","1,018","25,936",,"84,292","30,104","54,188",,"84,292","30,104","3,420",155,"1,201",171,51,"17,240","7,866","54,188","34,067","1,376",129,"13,522",618,502,"3,974",,"84,292","81,966","30,623","15,178",255,"2,456",163,"22,595","15,360","1,254",951,"4,885","4,557","2,326","1,337",688,649,989,507,482,,"30,620","15,415","6,880","2,598",598,"5,347","3,200",831,409,"7,260","3,918","1,700","1,102","9,870","7,663",,"32,373","30,620","1,753",976,93,87,48,147,402,,0.6,5.6,,"30,620","14,337","16,283",San Mateo County
15,San Bruno,,"43,908","2,195","2,239","2,259","2,232","2,415","3,580","3,810","3,500","3,124","2,777","2,835","3,099","2,813","2,355","1,820","1,167",824,864,,"36,753","35,843","34,529","8,663","7,030","21,779","1,146","1,127","1,179","1,159","1,261","1,842","1,948","1,791","1,609","1,357","1,420","1,487","1,380","1,075",817,517,345,319,,"18,076","17,640","16,922","3,842","3,073","22,129","1,049","1,112","1,080","1,073","1,154","1,738","1,862","1,709","1,515","1,420","1,415","1,612","1,433","1,280","1,003",650,479,545,,"18,677","18,203","17,607","4,821","3,957",,39.6,38.3,40.8,,"43,908","37,834","14,822",771,458,"14,148","1,156","6,479","6,074",,"50,603","20,166","1,302","1,100","16,022","1,676","10,337",,"43,908","12,282","31,626",,"43,908","12,282","1,840",72,383,221,30,"6,035","3,701","31,626","12,982",699,75,"13,927","1,126",444,"2,373",,"43,908","43,618","15,919","7,724",111,"1,040",66,"11,656","6,807","1,025",751,"3,574","2,503",290,46,22,24,244,130,114,,"15,938","7,839","3,120","1,113",292,"2,978","1,775",504,202,"4,008","2,087","1,030",493,"4,788","5,097",,"16,622","15,938",684,362,49,25,16,63,169,,0.3,4.8,,"15,938","8,848","7,090",San Mateo County
16,San Carlos,,"30,722","1,766","2,072","2,133","1,781","1,156","1,267","1,717","2,356","2,453","2,384","2,483","2,170","1,880","1,542","1,333",883,650,696,,"24,311","23,523","22,741","6,154","5,104","14,909",883,"1,061","1,050",905,592,634,843,"1,151","1,167","1,189","1,203","1,053",900,746,597,381,284,270,,"11,668","11,279","10,879","2,767","2,278","15,813",883,"1,011","1,083",876,564,633,874,"1,205","1,286","1,195","1,280","1,117",980,796,736,502,366,426,,"12,643","12,244","11,862","3,387","2,826",,42.3,41.4,43.0,,"30,722","26,891","19,476",268,99,"5,876",82,"1,090","3,831",,"34,846","23,186",532,492,"7,476",175,"2,985",,"30,722","3,416","27,306",,"30,722","3,416",754,9,56,55,1,877,"1,664","27,306","18,722",259,43,"5,821",81,213,"2,167",,"30,722","30,658","11,785","7,117",79,538,55,"9,338","6,925",240,149,797,709,64,1,1,0,63,40,23,,"11,791","7,204","3,514",591,99,"1,445",997,364,133,"2,551","1,638",879,286,"4,246","3,670",,"12,244","11,791",453,197,10,43,30,45,128,,0.5,5.2,,"11,791","8,240","3,551",San Mateo County
17,San Mateo,,"105,661","6,217","5,591","5,611","5,482","5,458","8,491","9,841","8,975","7,573","6,943","6,700","6,589","5,766","4,850","3,978","2,974","1,988","2,634",,"87,076","84,759","81,827","19,784","16,424","52,206","3,244","2,878","2,901","2,856","2,927","4,308","5,139","4,562","3,742","3,454","3,306","3,179","2,772","2,262","1,788","1,194",775,919,,"42,638","41,421","39,786","8,569","6,938","53,455","2,973","2,713","2,710","2,626","2,531","4,183","4,702","4,413","3,831","3,489","3,394","3,410","2,994","2,588","2,190","1,780","1,213","1,715",,"44,438","43,338","42,041","11,215","9,486",,38.3,36.9,39.8,,"105,661","92,319","43,826","1,815",866,"28,047","1,700","16,065","13,342",,"120,224","56,036","2,954","2,231","32,299","2,513","24,191",,"105,661","27,198","78,463",,"105,661","27,198","3,307",119,689,261,66,"15,151","7,605","78,463","40,519","1,696",177,"27,786","1,634",914,"5,737",,"105,661","104,440","40,259","19,707",283,"2,636",156,"27,162","18,602","1,431","1,083","6,594","6,212","1,221",179,77,102,"1,042",541,501,,"40,263","19,999","8,758","2,815",517,"6,970","4,343","1,212",502,"10,479","6,251","3,219","1,188","12,034","11,659",,"42,229","40,263","1,966",978,135,124,93,183,453,,0.6,4.6,,"40,263","20,047","20,216",San Mateo County
18,South San Francisco,,"66,105","3,398","3,431","3,495","3,384","3,830","4,932","5,283","5,093","4,673","4,123","4,266","4,430","4,467","3,666","2,909","1,856","1,347","1,522",,"55,147","53,787","51,660","13,939","11,300","32,669","1,755","1,739","1,813","1,734","2,006","2,605","2,739","2,580","2,402","2,073","2,007","2,155","2,130","1,742","1,324",771,558,536,,"27,018","26,338","25,237","6,166","4,931","33,436","1,643","1,692","1,682","1,650","1,824","2,327","2,544","2,513","2,271","2,050","2,259","2,275","2,337","1,924","1,585","1,085",789,986,,"28,129","27,449","26,423","7,773","6,369",,40.2,38.8,41.7,,"66,105","57,269","14,584","1,311",732,"27,369","1,058","12,215","8,836",,"75,803","22,211","2,008","1,797","29,882","1,700","18,205",,"66,105","21,650","44,455",,"66,105","21,650","2,679",127,607,375,62,"11,707","6,093","44,455","11,905","1,184",125,"26,994",996,508,"2,743",,"66,105","65,703","21,825","11,167",163,"1,311",79,"18,412","10,053","1,910","1,384","7,101","3,735",402,31,16,15,371,191,180,,"21,803","11,321","4,460","1,389",445,"3,591","1,997",679,234,"5,502","2,393","1,347",771,"7,137","7,768",,"22,683","21,803",880,437,32,48,50,65,248,,0.4,4.4,,"21,803","12,372","9,431",San Mateo County
0,Campbell,,"43,959","2,324","2,449","2,538","2,220","2,099","3,280","3,785","3,816","3,201","3,014","3,153","2,935","2,738","2,036","1,464","1,057",816,"1,034",,"36,167","35,193","34,000","7,981","6,407","21,561","1,198","1,261","1,298","1,165","1,059","1,624","1,893","1,923","1,631","1,444","1,584","1,438","1,354",937,659,453,319,321,,"17,577","17,061","16,430","3,477","2,689","22,398","1,126","1,188","1,240","1,055","1,040","1,656","1,892","1,893","1,570","1,570","1,569","1,497","1,384","1,099",805,604,497,713,,"18,590","18,132","17,570","4,504","3,718",,39.3,38.3,40.3,,"43,959","38,340","22,440","1,078",335,"10,626",147,"3,714","5,619",,"50,074","27,701","1,625","1,144","12,552",378,"6,674",,"43,959","8,424","35,535",,"43,959","8,424","1,585",56,245,126,15,"3,457","2,940","35,535","20,855","1,022",90,"10,500",132,257,"2,679",,"43,959","43,538","17,520","8,211",107,"1,224",81,"11,666","8,002",492,359,"2,250","1,987",421,289,107,182,132,63,69,,"17,530","8,340","3,810","1,324",250,"3,360","2,076",494,286,"4,506","2,654","1,247",544,"5,363","4,722",,"18,385","17,530",855,404,28,44,28,69,282,,0.5,4.3,,"17,530","8,552","8,978",Santa Clara County
1,Cupertino,,"60,381","2,381","3,999","4,888","4,764","3,065","2,654","2,826","4,135","5,113","5,363","4,733","4,045","3,201","2,685","2,096","1,593","1,305","1,535",,"48,047","45,928","43,662","11,026","9,214","30,048","1,234","2,049","2,448","2,455","1,694","1,483","1,374","1,880","2,435","2,652","2,434","2,126","1,634","1,297",987,675,561,630,,"23,782","22,713","21,475","5,042","4,150","30,333","1,147","1,950","2,440","2,309","1,371","1,171","1,452","2,255","2,678","2,711","2,299","1,919","1,567","1,388","1,109",918,744,905,,"24,265","23,215","22,187","5,984","5,064",,41.4,40.8,41.9,,"60,381","57,262","13,449",387,108,"42,411",22,885,"3,119",,"63,826","16,225",663,454,"44,099",175,"2,210",,"60,381","2,330","58,051",,"60,381","2,330",364,27,55,62,1,655,"1,166","58,051","13,085",360,53,"42,349",21,230,"1,953",,"60,381","60,010","20,631","14,268",49,460,24,"19,902","13,882",391,264,"2,638","1,647",371,254,125,129,117,69,48,,"20,615","14,314","7,835",476,88,"2,475","1,461",528,244,"3,350","1,825","1,196",462,"9,052","6,322",,"21,701","20,615","1,086",592,47,58,42,119,228,,0.5,6.5,,"20,615","12,197","8,418",Santa Clara County
2,East Palo Alto,,"30,034","1,826","2,108","2,345","2,309","2,522","2,812","2,613","2,350","2,138","1,910","1,712","1,557","1,293",909,663,408,280,279,,"23,323","22,401","20,992","3,267","2,539","15,182",924,"1,096","1,182","1,213","1,308","1,430","1,377","1,205","1,093",967,836,791,624,442,291,177,106,120,,"11,755","11,278","10,543","1,485","1,136","14,852",902,"1,012","1,163","1,096","1,214","1,382","1,236","1,145","1,045",943,876,766,669,467,372,231,174,159,,"11,568","11,123","10,449","1,782","1,403",,31.9,31.4,32.5,,"30,034","25,638","3,574","3,287",682,"1,596","2,084","14,415","4,396",,"34,722","7,357","3,882","1,153","2,040","2,312","17,978",,"30,034","19,964","10,070",,"30,034","19,964","1,269",97,658,29,76,"14,277","3,558","10,070","2,305","3,190",24,"1,567","2,008",138,838,,"30,034","29,890","7,681","3,250",59,559,32,"9,399","5,463","1,477","1,116","4,380","3,053",144,18,8,10,126,67,59,,"7,673","3,314","1,791",592,299,"1,562",693,169,179,"2,205",607,230,575,"3,761","1,995",,"8,110","7,673",437,207,29,18,16,30,137,,0.6,4.1,,"7,673","2,857","4,816",Santa Clara County
3,Gilroy,,"59,520","3,711","4,368","4,944","4,674","4,011","3,418","3,627","4,177","4,314","4,115","3,980","3,701","3,178","2,421","1,981","1,246",798,856,,"45,549","43,622","40,927","9,093","7,302","29,492","1,911","2,253","2,471","2,436","2,170","1,740","1,725","2,024","2,121","2,056","1,991","1,810","1,554","1,077",911,578,352,312,,"22,346","21,375","19,935","4,095","3,230","30,028","1,800","2,115","2,473","2,238","1,841","1,678","1,902","2,153","2,193","2,059","1,989","1,891","1,624","1,344","1,070",668,446,544,,"23,203","22,247","20,992","4,998","4,072",,36.2,35.1,37.4,,"59,520","47,912","20,836","1,352","1,557","6,313",210,"17,644","11,608",,"71,919","31,654","2,065","3,132","8,043",493,"26,532",,"59,520","33,650","25,870",,"59,520","33,650","5,066",178,"1,413",267,70,"17,321","9,335","25,870","15,770","1,174",144,"6,046",140,323,"2,273",,"59,520","58,901","17,668","9,855",96,"1,114",48,"20,681","13,286","1,928","1,492","5,049","2,462",619,263,97,166,356,268,88,,"17,637","9,930","4,879","1,158",555,"2,443","1,141",409,411,"4,106","1,471",887,"1,130","8,116","5,297",,"18,248","17,637",611,264,33,108,17,47,142,,1.0,3.7,,"17,637","10,717","6,920",Santa Clara County
4,Los Altos,,"31,625","1,146","1,991","2,674","2,488","1,316",912,"1,029","1,428","2,016","2,688","2,552","2,389","2,223","1,763","1,503","1,368",952,"1,187",,"25,197","24,051","23,070","8,063","6,773","15,409",589,"1,008","1,351","1,322",678,481,493,670,948,"1,258","1,271","1,174","1,104",847,686,631,452,446,,"12,136","11,547","11,015","3,701","3,062","16,216",557,983,"1,323","1,166",638,431,536,758,"1,068","1,430","1,281","1,215","1,119",916,817,737,500,741,,"13,061","12,504","12,055","4,362","3,711",,46.5,45.6,47.3,,"31,625","28,867","16,958",188,43,"11,176",44,458,"2,758",,"34,565","19,599",369,246,"12,710",131,"1,510",,"31,625","1,538","30,087",,"31,625","1,538",328,11,13,31,7,272,876,"30,087","16,630",177,30,"11,145",37,186,"1,882",,"31,625","31,324","11,187","7,769",35,276,15,"10,259","7,277",261,168,904,618,301,255,102,153,46,30,16,,"11,162","7,805","3,635",290,54,"1,052",687,360,115,"2,015","1,259",898,250,"4,287","4,466",,"11,783","11,162",621,181,20,41,65,97,217,,0.5,7.1,,"11,162","8,831","2,331",Santa Clara County
5,Los Altos Hills,,"8,489",194,395,609,624,481,318,206,259,382,534,704,758,679,589,572,523,369,293,,"7,151","6,860","6,555","2,745","2,346","4,158",107,208,314,290,252,167,103,120,156,244,342,385,335,287,278,245,176,149,,"3,456","3,328","3,185","1,333","1,135","4,331",87,187,295,334,229,151,103,139,226,290,362,373,344,302,294,278,193,144,,"3,695","3,532","3,370","1,412","1,211",,51.7,51.6,51.8,,"8,489","7,838","4,817",22,10,"2,863",23,103,651,,"9,174","5,443",66,49,"3,216",50,350,,"8,489",334,"8,155",,"8,489",334,79,0,7,4,2,54,188,"8,155","4,738",22,3,"2,859",21,49,463,,"8,489","8,420","2,870","2,165",8,82,5,"2,542","1,501",99,65,321,328,69,0,0,0,69,7,62,,"2,874","2,183",738,85,21,250,130,77,27,356,184,130,39,934,"1,428",,"3,098","2,874",224,8,8,33,18,60,97,,1.3,2.6,,"2,874","2,579",295,Santa Clara County
6,Los Gatos,,"33,529","1,270","1,959","2,598","2,566","1,406","1,165","1,329","1,764","2,375","2,632","2,872","2,716","2,237","1,678","1,461","1,237","1,030","1,234",,"27,127","25,977","24,850","7,868","6,640","16,177",634,996,"1,363","1,350",741,604,626,801,"1,087","1,232","1,405","1,358","1,100",836,641,518,423,462,,"12,897","12,284","11,674","3,480","2,880","17,352",636,963,"1,235","1,216",665,561,703,963,"1,288","1,400","1,467","1,358","1,137",842,820,719,607,772,,"14,230","13,693","13,176","4,388","3,760",,45.6,44.5,46.7,,"33,529","30,053","22,569",315,102,"6,153",27,887,"3,476",,"37,250","25,913",614,507,"7,441",144,"2,631",,"33,529","3,017","30,512",,"33,529","3,017",679,17,64,48,3,674,"1,532","30,512","21,890",298,38,"6,105",24,213,"1,944",,"33,529","33,079","13,052","7,290",41,566,27,"10,211","7,183",261,181,882,749,450,407,123,284,43,32,11,,"13,061","7,348","3,415",591,121,"1,869","1,217",422,210,"3,253","2,051","1,215",472,"4,493","4,515",,"13,824","13,061",763,188,27,73,41,94,340,,0.9,3.7,,"13,061","8,202","4,859",Santa Clara County
7,Milpitas,,"80,273","5,036","4,983","4,424","4,047","4,319","7,036","7,944","7,701","5,942","5,066","4,768","4,792","4,408","3,481","2,543","1,633","1,117","1,033",,"65,047","63,371","60,933","12,321","9,807","41,159","2,598","2,592","2,239","2,104","2,338","3,851","4,129","4,142","3,158","2,615","2,311","2,433","2,218","1,611","1,209",749,445,417,,"33,314","32,474","31,144","5,659","4,431","39,114","2,438","2,391","2,185","1,943","1,981","3,185","3,815","3,559","2,784","2,451","2,457","2,359","2,190","1,870","1,334",884,672,616,,"31,733","30,897","29,789","6,662","5,376",,36.4,35.8,37.1,,"80,273","75,205","9,085","1,691",503,"57,537",336,"6,053","5,068",,"85,966","13,356","2,368","1,182","59,583",741,"8,736",,"80,273","10,586","69,687",,"80,273","10,586","1,290",114,403,277,17,"5,721","2,764","69,687","7,795","1,577",100,"57,260",319,332,"2,304",,"80,273","78,603","24,442","15,361",113,927,67,"22,837","14,707","1,653","1,230","8,387","4,816","1,670","1,490","1,286",204,180,108,72,,"24,480","15,482","7,652","1,000",281,"3,756","1,612",343,354,"4,242","1,551",685,660,"10,126","6,746",,"25,183","24,480",703,383,38,69,34,62,117,,0.5,3.6,,"24,480","14,334","10,146",Santa Clara County
